Date,Total
2005-06-01,-610.0
2005-07-01,-1425.0
2005-08-01,1607.0
2005-09-01,-687.0
2005-10-01,1255.0
2005-11-01,-3036.0
2005-12-01,-1043.0
2006-01-01,5130.0
2006-02-01,394.0
2006-03-01,2018.0
2006-04-01,-5296.0
2006-05-01,-898.0
2006-06-01,-1433.0
2006-07-01,316.0
2006-08-01,1867.0
2006-09-01,-1734.0
2006-10-01,269.0
2006-11-01,-2982.0
2006-12-01,1580.0
2007-01-01,1786.0
2007-02-01,101.0
2007-03-01,502.0
2007-04-01,-4269.0
2007-05-01,2882.0
2007-06-01,-2607.0
2007-07-01,927.0
2007-08-01,1400.0
2007-09-01,-1347.0
2007-10-01,2055.0
2007-11-01,-3597.0
2007-12-01,-315.0
2008-01-01,6084.0
2008-02-01,339.0
2008-03-01,-1010.0
2008-04-01,-2788.0
2008-05-01,6.0
2008-06-01,348.0
2008-07-01,-387.0
2008-08-01,-446.0
2008-09-01,-2653.0
2008-10-01,3054.0
2008-11-01,-4504.0
2008-12-01,-700.0
2009-01-01,3345.0
2009-02-01,1396.0
2009-03-01,2002.0
2009-04-01,-2513.0
2009-05-01,-1329.0
2009-06-01,199.0
2009-07-01,434.0
2009-08-01,-949.0
2009-09-01,391.0
2009-10-01,587.0
2009-11-01,-3737.0
2009-12-01,811.0
2010-01-01,2911.0
2010-02-01,3152.0
2010-03-01,-179.0
2010-04-01,-3927.0
2010-05-01,631.0
2010-06-01,-79.0
2010-07-01,-1057.0
2010-08-01,2380.0
2010-09-01,-106.0
2010-10-01,-1386.0
2010-11-01,-2953.0
2010-12-01,910.0
2011-01-01,1353.0
2011-02-01,-2640.0
2011-03-01,2420.0
2011-04-01,-4005.0
2011-05-01,-1388.0
2011-06-01,-183.0
2011-07-01,371.0
2011-08-01,1454.0
2011-09-01,-823.0
2011-10-01,-517.0
2011-11-01,-1050.0
2011-12-01,-522.0
2012-01-01,2106.0
2012-02-01,1020.0
2012-03-01,270.0
2012-04-01,-2719.0
2012-05-01,1381.0
2012-06-01,-916.0
2012-07-01,813.0
2012-08-01,1166.0
2012-09-01,-1020.0
2012-10-01,373.0
2012-11-01,-443.0
2012-12-01,-636.0
